,File Name,Bacteroides,Parabacteroides,Phocaeicola,Butyricimonas,Uncultured Organism,Faecalibacterium,Intestinimonas,Streptomyces,Candidatus,Agathobaculum,Intestinibacillus,Amphibalanus,Cyanobium,Pseudomonas,Owariibacterium,Sulfitobacter,Flavonifractor,Oscillospiraceae,Dysosmobacter,Oscillibacter,Pseudoflavonifractor,Pusillimonas,Bacterium,Sobemovirus,Mycobacterium,Methylocystis,Rubrivivax,Curtobacterium,Lysobacter,Bradyrhizobium,Aristaeella,Eubacterium,Ruminococcus,Coprococcus,Lachnospira,Caulobacter,Roseburia,Caudoviricetes,Anaerotruncus,Subdoligranulum,Chitinibacter,Enterocloster,Blautia,Anaerostipes,Uncultured,Lachnoclostridium,Dorea,Unidentified,Mediterraneibacter,Agathobacter,Clostridiales,Clostridium,Ilyobacter,Olsenella,Ruthenibacterium,Vescimonas,Brevibacillus,Phascolarctobacterium,Sellimonas,Bacteriophage,Lysinibacillus,Prevotella,Segatella,Xylanibacter,Paenibacillus,Geobacillus,Bacillus,Dialister,Halanaerobium,Shouchella,Metabacillus,Thermacetogenium,Fictibacillus,Ornithinibacillus,Thermanaerosceptrum,Tepidibacillus,Sutcliffiella,Anoxybacter,Caproicibacterium,Eisenbergiella,Anaerocolumna,Marvinbryantia,Rossellomorea,Bacillota,Domibacillus,Caproicibacter,Caproiciproducens,Qiania,Novisyntrophococcus,Lactonifactor,Wansuia,Treponema,Syntrophococcus,Fusobacterium,Lacrimispora,Cellulosilyticum,Leptotrichia,Faecalicatena,Intestinibacter,Vallitalea,Anaerotignum,Brachyspira,Sebaldella,Listeria,Flavobacterium,Heyndrickxia,Halomonas,Campylobacter,Epilithonimonas,Desulfovibrio,Helicobacter,Weizmannia,Thiomicrorhabdus,Sulfurospirillum,Acinetobacter,Otariodibacter,Marivirga,Peptacetobacter,Terrisporobacter,Anaerobutyricum,Megasphaera,Hungatella,Bengtsoniella,Marseille,Nocardiopsis,Nonomuraea,Brachybacterium,Actinoplanes,Microbacterium,Corynebacterium,Cloacibacillus,Devosia,Embleya,Frigidibacter,Rathayibacter,Nocardioides,Krasilnikovia,Afipia,Glycomyces,Limimaricola,Actinoallomurus,Chelativorans,Lawsonibacter,Rhodovastum,Streptococcus,Mordavella,Macrococcoides,Thermaerobacillus,Desulfotomaculum,Desulfitobacterium,Sporosarcina,Carnobacterium,Thermocaproicibacter,Altererythrobacter,Macrococcus,Gemella,Mesobacillus,Croceicoccus,Alkalihalobacillus,Enterococcus,Simiaoa,Wujia,Eshraghiella,Waltera,Bifidobacterium,Emergencia,Adlercreutzia,Pelobacter,Dehalogenimonas,Nitrospira,Bradymonas,Sporolactobacillus,Desulfoscipio,Desulfuromonas,Heliomicrobium
0,ERR10786192.fastq,0.484375,0.265625,0.21875,0.015625,0.015625,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,ERR10786176.fastq,,,,,,0.7391304347826086,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,ERR10786189.fastq,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,ERR10786174.fastq,,,,,,,0.07894736842105263,,,,,,,,,,0.3157894736842105,0.2894736842105263,0.11842105263157894,0.07894736842105263,0.039473684210526314,0.039473684210526314,0.02631578947368421,0.013157894736842105,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,ERR10786190.fastq,,,,,,,,,,,,,,,,,,,,,,,,,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,ERR10786169.fastq,0.05555555555555555,,,,0.16666666666666666,,,,,,,,,,,,,,,,,,,,,,,,,,,0.16666666666666666,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.05555555555555555,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,ERR10786194.fastq,,,,,,,,,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3333333333333333,0.3333333333333333,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,ERR10786210.fastq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.029850746268656716,0.014925373134328358,0.07462686567164178,,,,0.014925373134328358,,,,0.3582089552238806,0.11940298507462686,0.07462686567164178,0.05970149253731343,0.05970149253731343,0.04477611940298507,0.04477611940298507,0.04477611940298507,0.029850746268656716,0.014925373134328358,0.014925373134328358,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,ERR10786170.fastq,0.9215686274509803,0.0784313725490196,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,ERR10786209.fastq,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
